City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
374,Brigantine,US,70.03,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
376,Caravelas,BR,73.99,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
377,Calama,CL,63.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
378,Saldanha,ZA,55.78,clear sky,-33.0117,17.9442,Blue Bay Lodge
379,Cururupu,BR,76.3,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
380,Mlonggo,ID,76.01,scattered clouds,-6.5333,110.7,Asia Metal Art
381,Chicama,PE,59.54,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
383,Burnie,AU,55.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
384,Saint John,CA,58.48,clear sky,45.2727,-66.0677,Delta Hotels by Marriott Saint John
385,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
387,Sitka,US,55.29,broken clouds,57.0531,-135.33,Westmark Sitka
393,Margate,GB,50.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
394,Novi,US,56.82,broken clouds,42.4806,-83.4755,DoubleTree by Hilton Hotel Detroit - Novi
397,Constitucion,CL,57.11,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
398,Kiama,AU,59.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
399,Maridi,SS,65.34,light rain,4.9158,29.4742,
400,Pringsewu,ID,73.11,overcast clouds,-5.3582,104.9744,Urban Style by Front One
401,Nishihara,JP,78.08,few clouds,26.1842,127.7558,Minshuku Agaihama
402,Quepos,CR,79.07,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
403,Sorong,ID,78.19,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
405,Calvia,ES,71.96,scattered clouds,39.5657,2.5062,Castell Son Claret
406,Sakaraha,MG,68.99,clear sky,-22.9,44.5333,Le Relais
407,Wakkanai,JP,63.23,overcast clouds,45.4094,141.6739,Hyōsetsu-sō
408,Hanna,CA,76.86,clear sky,51.6334,-111.9018,West View Motel
414,Qesarya,IL,72.36,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
415,Okitipupa,NG,73.78,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
417,Oytal,KZ,55.96,few clouds,42.9057,73.2697,Sanatorium Ak-Niet
419,Batticaloa,LK,79.38,broken clouds,7.7102,81.6924,Grand Star Guest House
420,Sorland,NO,51.66,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
422,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
425,Saint-Denis,FR,55.89,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
426,Florina,GR,61.07,clear sky,40.782,21.4098,Hotel Hellinis
427,Inverell,AU,62.67,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
429,Kangavar,IR,62.8,clear sky,34.5043,47.9653,خانه معلم کنگاور
431,Tambun,ID,78.04,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
432,Hay River,CA,74.41,broken clouds,60.8156,-115.7999,Ptarmigan Inn
433,Tibana,RO,60.55,overcast clouds,46.9833,27.3333,Casa de vacanta Tonu
436,Puerto Baquerizo Moreno,EC,70.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
437,Ronne,DK,53.51,light rain,55.1009,14.7066,Griffen Spahotel
439,Wodonga,AU,51.96,light rain,-36.1167,146.8833,The Hume Inn Motel
